380262	Columba janthina janthina	黑林鴿
404566	Columba livia	岩鴿
380263	Columba pulchricollis	灰林鴿
419423	Copsychus malabaricus	白腰鵲鴝
419424	Copsychus saularis	鵲鴝
380317	Coracina macei rexpineti	花翅山椒
404567	Corvus corone orientalis	小嘴烏鴉
380319	Corvus dauuricus	東方寒鴉
380320	Corvus frugilegus pastinator	禿鼻鴉
380321	Corvus macrorhynchos colonorum	巨嘴鴉
404569	Corvus splendens insolens	家烏鴉
419675	Corvus torquatus	玉頸鴉
380288	Coturnix japonica	鵪鶉
380280	Cuculus canorus canorus	大杜鵑
404571	Cuculus micropterus micropterus	四聲杜鵑
420070	Cuculus optatus	北方中杜鵑
380281	Cuculus poliocephalus	小杜鵑
420935	Cuculus saturatus	喜馬拉雅中杜鵑
404572	Culicicapa ceylonensis calochrysea	方尾鶲
428592	Cyanoderma ruficeps praecognitum	山紅頭
425198	Cyanopica cyanus	灰喜鵲
430642	Cyanoptila cumatilis	琉璃藍鶲
419687	Cyanoptila cyanomelana cyanomelana	白腹琉璃
380082	Cygnus columbianus bewickii	小天鵝
380083	Cygnus cygnus	大天鵝
380084	Cygnus olor	疣鼻天鵝
425226	Cyornis brunneatus	白喉林鶲
380361	Delichon dasypus nigrimentale	東方毛腳燕
428572	Delichon urbicum lagopodum	白腹毛腳燕
380323	Dendrocitta formosae formosae	灰樹鵲
380491	Dendrocopos canicapillus kaleensis	小啄木
380492	Dendrocopos leucotos insularis	大赤啄木
380092	Dendrocygna javanica	栗樹鴨
380424	Dendronanthus indicus	山鶺鴒
428600	Dicaeum ignipectus formosum	紅胸啄花
425199	Dicaeum minullum uchidai	綠啄花
380324	Dicrurus aeneus braunianus	小卷尾
427290	Dicrurus annectans	鴉嘴卷尾
404575	Dicrurus hottentottus brevirostris	髮冠卷尾
380325	Dicrurus leucophaeus leucogenis	灰卷尾
380326	Dicrurus macrocercus cathoecus	大卷尾(福建亞種)
420271	Dicrurus macrocercus harterti	大卷尾(本島亞種)
380128	Egretta eulophotes	唐白鷺
380129	Egretta garzetta garzetta	小白鷺
380130	Egretta novaehollandiae	白臉鷺
404577	Egretta picata	白頸黑鷺
380131	Egretta sacra sacra	岩鷺
404578	Elanus caeruleus vociferus	黑翅鳶
380342	Emberiza aureola ornata	金鵐
419666	Emberiza bruniceps	褐頭鵐
380344	Emberiza chrysophrys	黃眉鵐
380345	Emberiza cioides castaneiceps	草鵐
380346	Emberiza elegans elegans	黃喉鵐
380347	Emberiza fucata fucata	栗耳鵐
420246	Emberiza fucata kuatunensis	栗耳鵐
404579	Emberiza leucocephalos leucocephalos	白頭鵐
404580	Emberiza melanocephala	黑頭鵐
380348	Emberiza pallasi polaris	葦鵐
380349	Emberiza pusilla	小鵐
380350	Emberiza rustica	田鵐
380351	Emberiza rutila	銹鵐
380352	Emberiza schoeniclus pallidior	蘆鵐
420245	Emberiza spodocephala personata	黑臉鵐
425200	Emberiza spodocephala sordida	黑臉鵐
380353	Emberiza spodocephala spodocephala	灰頭黑臉鵐
404581	Emberiza sulphurata	繡眼鵐
380354	Emberiza tristrami	白眉鵐
404582	Emberiza variabilis	灰鵐
427298	Emberiza yessoensis continentalis	紅頸葦鵐
380375	Enicurus scouleri fortis	小剪尾
380355	Eophona migratoria migratoria	小黃嘴雀
380356	Eophona personata personata	黃嘴雀
419432	Eos bornea	紅色吸蜜鸚鵡
425240	Erpornis zantholeuca griseiloris	綠畫眉
419420	Estrilda astrild	橫斑梅花雀
404584	Estrilda melpoda melpoda	橙頰梅花雀
404585	Eudynamys scolopaceus chinensis	噪鵑
404586	Eumyias thalassinus thalassinus	銅藍鶲
419848	Euodice malabarica	白喉文鳥
380273	Eurystomus orientalis calonyx	三寶鳥
404587	Falco amurensis	紅腳隼
380154	Falco columbarius insignis	灰背隼
420285	Falco columbarius pacificus	灰背隼
404588	Falco naumanni	黃爪隼
380155	Falco peregrinus calidus	遊隼
420283	Falco peregrinus peregrinator	遊隼
420284	Falco subbuteo streichi	燕隼
380156	Falco subbuteo subbuteo	燕隼
420286	Falco tinnunculus interstinctus	紅隼
380157	Falco tinnunculus tinnunculus	紅隼
419839	Ficedula albicilla	紅喉鶲
430641	Ficedula elisae	綠背姬鶲
419659	Ficedula hodgsoni	銹胸藍姬鶲
380378	Ficedula hyperythra innexa	黃胸青鶲
380379	Ficedula mugimaki	斑眉姬鶲
380380	Ficedula narcissina narcissina	黃眉黃鶲(黑背亞種)
425336	Ficedula narcissina owstoni	黃眉黃鶲(暗綠背亞種)
420996	Ficedula parva	紅胸鶲
380382	Ficedula zanthopygia	白眉姬鶲
380158	Fregata ariel	白斑軍艦鳥
380159	Fregata minor minor	軍艦鳥
380357	Fringilla montifringilla	花雀
380297	Fulica atra atra	白骨頂
425189	Fulvetta formosana	褐頭花翼
380298	Gallicrex cinerea	董雞
380224	Gallinago gallinago gallinago	田鷸
380225	Gallinago hardwickii	大田鷸
380226	Gallinago megala	中田鷸
380227	Gallinago stenura	針尾田鷸
380299	Gallinula chloropus chloropus	紅冠水雞
380300	Gallirallus striatus taiwanus	灰胸紋秧雞
417581	Garrulax canorus	大陸畫眉
419448	Garrulax sannio	白頰噪眉
404589	Garrulax taewanus	臺灣畫眉
425203	Garrulus glandarius taivanus	松鴉
419625	Gavia adamsii	白嘴潛鳥
419623	Gavia arctica	黑喉潛鳥
419624	Gavia pacifica	太平洋潛鳥
419621	Gavia stellata	紅喉潛鳥
431225	Gelochelidon nilotica affinis	鷗嘴燕鷗
427295	Geokichla citrina	橙頭地鶇
427296	Geokichla sibirica davisoni	白眉地鶇(日本亞種)
427297	Geokichla sibirica sibirica	白眉地鶇(大陸亞種)
419417	Geopelia striata	斑馬鳩
380162	Glareola maldivarum	燕鴴
380499	Glaucidium brodiei pardalotum	領鵂鶹
380132	Gorsachius goisagi	麻鷺
380133	Gorsachius melanolophus	黑冠麻鷺
419446	Gracula religiosa	九官鳥
419447	Gracupica nigricollis	烏領椋鳥
380292	Grus grus lilfordi	灰鶴
380293	Grus japonensis	丹頂鶴
430488	Grus leucogeranus	白鶴
380294	Grus monacha	白頭鶴
380295	Grus vipio	白枕鶴
380145	Haematopus ostralegus osculans	蠣鷸
380274	Halcyon coromanda major	赤翡翠
380275	Halcyon pileata	黑頭翡翠
380276	Halcyon smyrnensis fokiensis	白胸翡翠
380111	Haliaeetus albicilla albicilla	白尾海鵰
428071	Haliaeetus leucogaster	白腹海鵰
420282	Haliastur indus indus	栗鳶
404590	Haliastur indus intermedius	栗鳶
420129	Hemixos castanonotus canipennis	栗背短腳鵯
380467	Heterophasia auricularis	白耳畫眉
419696	Hierococcyx hyperythrus	北方鷹鵑
425196	Hierococcyx nisicolor	棕腹鷹鵑
425195	Hierococcyx sparverioides sparverioides	鷹鵑
421072	Himantopus himantopus	高蹺鴴
380095	Hirundapus caudacutus caudacutus	白喉針尾雨燕
430637	Hirundapus celebensis	紫針尾雨燕
404593	Hirundapus cochinchinensis formosanus	灰喉針尾雨燕
380362	Hirundo rustica gutturalis	家燕(白腹亞種)
420269	Hirundo rustica saturata	家燕(紅腹亞種)
420268	Hirundo tahitica javanica	洋燕(蘭嶼亞種)
380364	Hirundo tahitica namiyei	洋燕(臺灣亞種)
428584	Horornis acanthizoides concolor	深山鶯
430646	Horornis borealis	遠東樹鶯
428577	Horornis diphone cantans	日本樹鶯(日本亞種)
430647	Horornis diphone canturians	日本樹鶯(華中亞種)
428579	Horornis diphone viridis	日本樹鶯(庫頁島亞種)
428583	Horornis fortipes davidianus	小鶯(馬祖亞種)
428582	Horornis fortipes robustipes	臺灣小鶯
419702	Hydrocoloeus minutus	小鷗
380163	Hydrophasianus chirurgus	水雉
427071	Hydroprogne caspia	裏海燕鷗
380328	Hypothymis azurea oberholseri	黑枕王鶲
425205	Hypsipetes amaurotis amaurotis	日本棕耳鵯
425204	Hypsipetes amaurotis harterti	蘭嶼棕耳鵯
380437	Hypsipetes leucocephalus nigerrimus	紅嘴黑鵯
428596	Ianthocincla chinensis	黑喉噪眉
428597	Ianthocincla poecilorhyncha	棕噪眉
428595	Ianthocincla ruficeps	臺灣白喉噪眉
425207	Ichthyaetus ichthyaetus	漁鷗
428568	Ichthyaetus relictus	遺鷗
380113	Ictinaetus malaiensis malaiensis	林鵰
430636	Iduna aedon	厚嘴葦鶯
419653	Iduna caligata	靴籬鶯
385005	Ixobrychus cinnamomeus	栗葦鷺
380134	Ixobrychus eurhythmus	紫背葦鷺
380127	Ixobrychus flavicollis flavicollis	黃頸黑鷺
380135	Ixobrychus sinensis	黃葦鷺
431230	Jynx torquilla chinensis	蟻鴷
380500	Ketupa flavipes	黃魚鴞
427289	Lalage melaschistos intermedia	黑翅山椒鳥
419644	Lalage nigra	黑原鵑鵙
417816	Lamprotornis superbus	栗頭麗椋鳥
380367	Lanius bucephalus bucephalus	紅頭伯勞
419647	Lanius collurio	紅背伯勞
380368	Lanius cristatus cristatus	紅尾伯勞
420273	Lanius cristatus lucionensis	紅尾伯勞
380369	Lanius schach formosae	棕背伯勞
380370	Lanius sphenocercus sphenocercus	楔尾伯勞
380371	Lanius tigrinus	虎紋伯勞
380169	Larus argentatus vegae	銀鷗
404594	Larus cachinnans mongolicus	裏海銀鷗
380170	Larus canus kamtschatschensis	海鷗
380171	Larus crassirostris	黑尾鷗
404595	Larus fuscus heuglini	小黑背鷗
